ID,CustomerID,ProductID,Quantity,Date
1,102,3,5,2026-09-11-20:37:46
2,102,2,5,2026-09-11-20:38:08
3,102,99,100,2026-09-11-21:12:51
4,67,33,50,2026-09-11-21:13:09
5,102,2,0,2026-09-11-21:54:57
6,67,2,0,2026-09-11-21:54:57
7,102,2,3,2026-09-11-21:55:24
8,67,5,4,2026-09-11-21:55:27
10,67,2,5,2026-09-11-21:58:08
11,102,4,5,2026-09-11 22:58:31
12,67,1,7,2026-09-11 22:58:37
13,102,2,4,2026-09-11 23:04:25
14,67,6,4,2026-09-11 23:04:27
15,102,6,8,2026-09-11 23:11:36
16,67,7,9,2026-09-11 23:11:39
17,168,3,10,2026-09-12 12:37:50
18,168,67,23,2026-09-12 12:38:53
19,168,2,5,2026-09-13 00:33:24
20,168,6,8,2026-09-13 00:36:25
21,168,3,56,2026-09-13 19:31:50
22,101,6,50,2026-09-21 08:23:27
